Column1,Year of release,Duration Min,Rating,Genre.1,Genre.2,Genre.3,Director,Box office collection,Awards,Description,Streaming platform.1,Streaming platform.2,Duration Hrs,Rated By,Language
Maharaja,2024,150,8.6,Crime, Drama,,Nithilan Saminathan,975543,2,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the e...  ",Netflix,,2.50,37000,Tamil
Manjummel Boys,2024,135,8.3,Comedy, Drama,,Chidambaram,3784106,0,"A group of friends get into a daring rescue mission to save their friend from Guna Caves, a perilously deep pit from where nobody has ever been brought back.",Not Available,,2.25,20000,Malayalam
Anbe Sivam,2003,160,8.6,Drama, Comedy,,Sundar C.,0,2,"Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fat...  ",Disney+ Hotstar,,2.67,26000,Tamil
The Goat Life,2024,173,8.0,Action, Drama,,Blessy,5138042,0,"An Indian man seeking work follows a job lead to Saudi Arabia, only to find himself forced to labor without pay as a goat herder in the remote desert.",Amazon Prime Video,,2.88,14000,Kannada
3 Idiots,2009,170,8.4,Comedy, Drama,,Rajkumar Hirani,60262836,64,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of t...  ",Netflix, Amazon Prime Video,2.83,441000,Hindi
Maidaan,2024,181,8.0,Sports, Drama, Biography,Amit Ravindernath Sharma,371226,0,"Inspired by the Indian national football team coach and manager Syed Abdul Rahim, who is regarded as the architect of Indian football.",Amazon Prime Video,,3.02,20000,Hindi
Black Friday,2004,143,8.4,Crime, Drama, Thriller,Anurag Kashyap,1610897,1,"A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen.",YouTube,,2.38,22000,Hindi
12th Fail,2023,147,8.9,Drama, Biography,,Vidhu Vinod Chopra,138288,23,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,SonyLIV,,2.45,126000,Hindi
Laapataa Ladies,2023,122,8.4,Drama, Comedy,,Kiran Rao,108886,5,"The misadventures of two young brides who get lost from the same train. From mistaken identities to laugh-out-aloud escapades, the ensuing chaos guarantees laughter galore and heartwarming m...  ",Not Available,,2.03,39000,Hindi
2018,2023,150,8.3,Drama, Thriller,,Jude Anthany Joseph,4547765,3,A disaster film set during the 2018 Kerala Floods where people from all walks of life faced catastrophic consequences and put in collective efforts to survive the calamity.,SonyLIV,,2.50,13000,Malayalam
